location,online_order,name
BTM,No,1766
BTM,Yes,3305
Banashankari,No,397
Banashankari,Yes,507
Banaswadi,No,302
Banaswadi,Yes,343
Bannerghatta Road,No,687
Bannerghatta Road,Yes,924
Basavanagudi,No,243
Basavanagudi,Yes,441
Bellandur,No,519
Bellandur,Yes,752
Brigade Road,No,553
Brigade Road,Yes,665
Brookefield,No,239
Brookefield,Yes,417
Church Street,No,226
Church Street,Yes,343
Electronic City,No,676
Electronic City,Yes,572
Frazer Town,No,288
Frazer Town,Yes,432
HSR,No,585
HSR,Yes,1911
Indiranagar,No,701
Indiranagar,Yes,1332
JP Nagar,No,911
JP Nagar,Yes,1308
Jayanagar,No,552
Jayanagar,Yes,1364
Kalyan Nagar,No,350
Kalyan Nagar,Yes,491
Kammanahalli,No,265
Kammanahalli,Yes,375
Koramangala 1st Block,No,384
Koramangala 1st Block,Yes,853
Koramangala 4th Block,No,459
Koramangala 4th Block,Yes,558
Koramangala 5th Block,No,867
Koramangala 5th Block,Yes,1614
Koramangala 6th Block,No,445
Koramangala 6th Block,Yes,684
Koramangala 7th Block,No,390
Koramangala 7th Block,Yes,786
Lavelle Road,No,317
Lavelle Road,Yes,206
MG Road,No,520
MG Road,Yes,374
Malleshwaram,No,309
Malleshwaram,Yes,415
Marathahalli,No,701
Marathahalli,Yes,1107
New BEL Road,No,255
New BEL Road,Yes,389
Rajajinagar,No,286
Rajajinagar,Yes,305
Residency Road,No,426
Residency Road,Yes,248
Richmond Road,No,557
Richmond Road,Yes,247
Sarjapur Road,No,324
Sarjapur Road,Yes,725
Shanti Nagar,No,289
Shanti Nagar,Yes,222
Ulsoor,No,389
Ulsoor,Yes,628
Whitefield,No,986
Whitefield,Yes,1123
others,No,3673
others,Yes,4345
